Timestamp;Visitors
2024-11-21T08:00:10.788891Z;70
2024-11-21T08:10:04.741231Z;91
2024-11-21T08:20:05.168476Z;102
2024-11-21T08:30:04.864548Z;102
2024-11-21T08:40:05.815075Z;114
2024-11-21T08:50:05.250116Z;128
2024-11-21T09:00:05.780484Z;128
2024-11-21T09:10:05.421723Z;129
2024-11-21T09:20:04.803947Z;130
2024-11-21T09:30:06.304128Z;130
2024-11-21T09:40:04.931354Z;121
2024-11-21T09:50:04.285920Z;112
2024-11-21T10:00:08.393889Z;112
2024-11-21T10:10:05.442630Z;101
2024-11-21T10:20:05.390178Z;103
2024-11-21T10:30:10.420631Z;103
2024-11-21T10:40:05.245474Z;88
2024-11-21T10:50:04.303271Z;90
2024-11-21T11:00:06.330211Z;90
2024-11-21T11:10:05.338742Z;97
2024-11-21T11:20:04.921326Z;102
2024-11-21T11:30:07.927276Z;102
2024-11-21T11:40:05.300853Z;107
2024-11-21T11:50:05.672413Z;107
2024-11-21T12:00:06.455495Z;107
2024-11-21T12:10:06.033124Z;99
2024-11-21T12:20:05.296554Z;79
2024-11-21T12:30:07.350994Z;79
2024-11-21T12:40:05.720905Z;70
2024-11-21T12:50:11.649872Z;62
2024-11-21T13:00:14.738375Z;62
2024-11-21T13:10:05.599920Z;59
2024-11-21T13:20:05.213660Z;59
2024-11-21T13:30:05.402687Z;59
2024-11-21T13:40:05.020417Z;64
2024-11-21T13:50:05.822397Z;65
2024-11-21T14:00:08.275883Z;65
2024-11-21T14:10:05.004340Z;71
2024-11-21T14:20:05.010790Z;71
2024-11-21T14:30:07.344786Z;71
2024-11-21T14:40:05.416682Z;73
2024-11-21T14:50:04.434645Z;74
2024-11-21T15:00:06.914443Z;74
2024-11-21T15:10:05.976796Z;72
2024-11-21T15:20:05.103805Z;79
2024-11-21T15:30:05.634137Z;79
2024-11-21T15:40:06.395589Z;83
2024-11-21T15:50:04.923917Z;83
2024-11-21T16:00:07.138773Z;83
2024-11-21T16:10:05.646500Z;97
2024-11-21T16:20:04.465859Z;112
2024-11-21T16:30:08.864126Z;112
2024-11-21T16:40:04.310280Z;122
2024-11-21T16:50:04.871678Z;126
2024-11-21T17:00:07.502089Z;126
2024-11-21T17:10:04.748436Z;147
2024-11-21T17:20:06.282816Z;163
2024-11-21T17:30:09.443674Z;163
2024-11-21T17:40:06.091409Z;158
2024-11-21T17:50:04.719507Z;172
2024-11-21T18:00:08.725874Z;172
